KPI Seed,KPI Synonym,KPI Top Level Group,,
assets,assets,Assets,,
impairments,impairment,Other Income Statement,,
impairment,impairment,Other Income Statement,,
capex depreciation,CapEx & Depreciation,Expenses,,
capital expenditure depreciation,CapEx & Depreciation,Expenses,,
capex,CapEx,Expenses,,
capital exp,CapEx,Expenses,,
capital expenditure,CapEx,Expenses,,
capital expenditures,CapEx,Expenses,,
capital expense,CapEx,Expenses,,
capital spending,CapEx,Expenses,,
cap ex,CapEx,Expenses,,
cap-ex,CapEx,Expenses,,
C&E,C&E Expense,Expenses,,
capital & exploratory expenditure,C&E Expense,Expenses,,
capital & exploratory expenditures,C&E Expense,Expenses,,
capital exploratory expenditure,C&E Expense,Expenses,,
capital exploratory expenditures,C&E Expense,Expenses,,
dividend,dividend,Dividends / Repurchases,,
dividends,dividend,Dividends / Repurchases,,
dps,DPS,Dividends / Repurchases,,
dividend per share,DPS,Dividends / Repurchases,,
equity,equity,Balance Sheet,,
shareholder equity,equity,Balance Sheet,,
buy back,buybacks,Dividends / Repurchases,,
buybacks,buybacks,Dividends / Repurchases,,
repurchases,buybacks,Dividends / Repurchases,,
buyback,buybacks,Dividends / Repurchases,,
share repurchase,buybacks,Dividends / Repurchases,,
share repurchases,buybacks,Dividends / Repurchases,,
stock buyback,buybacks,Dividends / Repurchases,,
stock buybacks,buybacks,Dividends / Repurchases,,
FCF,FCF,Cash Flow,,
free cash flow,FCF,Cash Flow,,
lease-back,leasebacks,Financing,,
lease-backs,leasebacks,Financing,,
leaseback,leasebacks,Financing,,
leasebacks,leasebacks,Financing,,
sale leaseback,leasebacks,Financing,,
sale and leaseback,leasebacks,Financing,,
gross margin,gross margin,Margins,,
gross margins,gross margin,Margins,,
gross profit,gross profit,Profits,,
gross profits,gross profit,Profits,,
gross income,gross profit,Profits,,
gross income margin,gross margin,Margins,,
gross profit margin,gross margin,Margins,,
gross margin rate,gross margin,Margins,,
gross margin rates,gross margin,Margins,,
gross profit margin rate,gross margin,Margins,,
gross profit margin rates,gross margin,Margins,,
GP rate,gross margin,Margins,,
GP rates,gross margin,Margins,,
GP margin,gross margin,Margins,,
GP margins,gross margin,Margins,,
write-off,write offs,Other Income Statement,,
write-offs,write offs,Other Income Statement,,
writeoff,write offs,Other Income Statement,,
writeoffs,write offs,Other Income Statement,,
write off,write offs,Other Income Statement,,
write offs,write offs,Other Income Statement,,
one-time,one timer,Other Income Statement,,
one timers,one timer,Other Income Statement,,
margin,margins,Margins,,
margins,margins,Margins,,
profit margin,profit margin,Margins,,
profit margins,profit margin,Margins,,
material cost,material cost,Expenses,,
raw material cost,raw material cost,Expenses,,
raw material costs,raw material cost,Expenses,,
R&D costs,R&D expense,Expenses,,
R&D expense,R&D expense,Expenses,,
R&D expenses,R&D expense,Expenses,,
share-based compensation,SBC,Expenses,,
stock compensation,SBC,Expenses,,
stock-based compensation,SBC,Expenses,,
share based compensation,SBC,Expenses,,
stock based compensation,SBC,Expenses,,
share based comp,SBC,Expenses,,
share-based comp,SBC,Expenses,,
stock based comp,SBC,Expenses,,
stock-based comp,SBC,Expenses,,
tax,Tax,Expenses,,
taxes,Tax,Expenses,,
R&D,R&D,,,
research & development,R&D,,,
research and development,R&D,,,
research development,R&D,,,
R&D spend,R&D expense,R&D,,
research development cost,R&D expense,R&D,,
research development expense,R&D expense,R&D,,
research development spend,R&D expense,R&D,,
customers,customers,Revenue Drivers,,
backlog,backlog,Revenue Drivers,,
booking,bookings,Revenue Drivers,,
bookings,bookings,Revenue Drivers,,
orders,orders,Revenue Drivers,,
revenue,revenue,Revenue,,
sales,revenue,Revenue,,
top line,revenue,Revenue,,
top-line,revenue,Revenue,,
topline,revenue,Revenue,,
revenues,revenue,Revenue,,
shipments,shipments,Revenue Drivers,,
volume,volume,Revenue Drivers,,
volumes,volume,Revenue Drivers,,
book value,book value,Balance Sheet,,
BV,book value,Balance Sheet,,
BVPS,BVPS,Balance Sheet,,
book value per share,BVPS,Balance Sheet,,
inventories,inventory,Assets,,
inventory,inventory,Assets,,
admission receipts,admission receipts,Revenue,,
admission revenue,admission revenue,Revenue,,
AFFO,AFFO,Profits,,
adjusted funds from operations,AFFO,Profits,,
adjusted funds operations,AFFO,Profits,,
ARPU,ARPU,Revenue Drivers,,
ARPUs,ARPU,Revenue Drivers,,
average revenue per unit,ARPU,Revenue Drivers,,
average revenue per user,ARPU,Revenue Drivers,,
avg rev per unit,ARPU,Revenue Drivers,,
avg rev per user,ARPU,Revenue Drivers,,
attrition rates,attrition,Revenue Drivers,,
attrition,attrition,Revenue Drivers,,
churn rate,churn,Revenue Drivers,,
churn,churn,Revenue Drivers,,
AUM,AUM,Revenue Drivers,,
assets under administration,AUM,Revenue Drivers,,
assets under custody,AUM,Revenue Drivers,,
assets under management,AUM,Revenue Drivers,,
assets under mgmt,AUM,Revenue Drivers,,
average check,average check,Revenue Drivers,,
average checks,average check,Revenue Drivers,,
avg check,average check,Revenue Drivers,,
avg checks,average check,Revenue Drivers,,
average transaction price,average transaction price,Revenue Drivers,,
average transaction prices,average transaction price,Revenue Drivers,,
average transaction value,average transaction price,Revenue Drivers,,
avg transaction price,average transaction price,Revenue Drivers,,
avg transaction prices,average transaction price,Revenue Drivers,,
average bill,average spend,Revenue Drivers,,
average spend,average spend,Revenue Drivers,,
average ticket,average spend,Revenue Drivers,,
avg bill,average spend,Revenue Drivers,,
avg spend,average spend,Revenue Drivers,,
avg ticket,average spend,Revenue Drivers,,
basket size,basket size,Revenue Drivers,,
basket sizes,basket size,Revenue Drivers,,
average bill size,average bill size,Revenue Drivers,,
average ticket price,average ticket price,Revenue Drivers,,
KTPY,tons per year,Revenue Drivers,,
MTPY,tons per year,Revenue Drivers,,
TPY,tons per year,Revenue Drivers,,
tons per year,tons per year,Revenue Drivers,,
tonnes per year,tons per year,Revenue Drivers,,
CASK,CASM,Revenue Drivers,,
CASM,CASM,Revenue Drivers,,
cost per available seat mile,CASM,Revenue Drivers,,
COGS,COGS,Expenses,,
cost goods sold,COGS,Expenses,,
cost of goods,COGS,Expenses,,
commission expenses,Commission,Expenses,,
sales commissions,Commission,Expenses,,
commission cost,Commission,Expenses,,
commission rate,Commission,Expenses,,
sales commission,Commission,Expenses,,
comps,Comparable Store Sales,Revenue Drivers,,
crop yield,crop yield,Revenue Drivers,,
crop yields,crop yield,Revenue Drivers,,
dayrates,day rate,Revenue Driver,,
day rate,day rate,Revenue Driver,,
day rates,day rate,Revenue Driver,,
dayrate,day rate,Revenue Driver,,
DPO,DPO,Operating Ratios,,
DPOs,DPO,Operating Ratios,,
payable days,DPO,Operating Ratios,,
days payable outstanding,DPO,Operating Ratios,,
days payables outstanding,DPO,Operating Ratios,,
days payables out,DPO,Operating Ratios,,
payable days out,DPO,Operating Ratios,,
payables days out,DPO,Operating Ratios,,
payable turnover,payable turnover,Operating Ratios,,
payables turnover,payable turnover,Operating Ratios,,
